Text,Image,Folio,
urn:cts:greekLit:tlg5026.msAext.hmt:24.1,"urn:cite:hmt:vaimg.VA314RN-0484@0.89,0.5736,0.051,0.0218",urn:cite:hmt:msA.314r,
urn:cts:greekLit:tlg5026.msAext.hmt:24.2,"urn:cite:hmt:vaimg.VA314VN-0816@0.111,0.4557,0.075,0.0315",urn:cite:hmt:msA.314v,
urn:cts:greekLit:tlg5026.msAext.hmt:24.3,"urn:cite:hmt:vaimg.VA315RN-0485@0.837,0.5368,0.053,0.027",urn:cite:hmt:msA.315r,
urn:cts:greekLit:tlg5026.msAext.hmt:24.4,"urn:cite:hmt:vaimg.VA315VN-0817@0.123,0.3221,0.095,0.0601",urn:cite:hmt:msA.315v,
urn:cts:greekLit:tlg5026.msAext.hmt:24.5,"urn:cite:hmt:vaimg.VA315VN-0817@0.125,0.4392,0.076,0.03",urn:cite:hmt:msA.315v,
